hjd,camera,mag,mag_err,flux,flux_err
2457889.65922,bg,12.662,0.02,33.052,0.608
2457855.83159,bg,12.473,0.02,39.311,0.723
2458162.84372,bg,12.633,0.02,33.945,0.625
2458181.79331,bg,12.673,0.02,32.708,0.602
2458332.55586,bg,12.653,0.02,33.317,0.613
2458319.67756,bg,12.689,0.02,32.235,0.593
2457619.59699,bg,12.752,0.02,30.417,0.56
2457915.67399,bg,12.661,0.02,33.073,0.609
2457923.60897,bg,12.502,0.02,38.302,0.705
2457871.66567,bg,12.641,0.02,33.704,0.62
2458352.67727,bg,12.624,0.02,34.232,0.63
2457900.71664,bg,12.49,0.02,38.718,0.712
2457869.83481,bg,12.647,0.02,33.491,0.616
2458197.80628,bg,12.692,0.02,32.159,0.592
2458338.72063,bg,12.771,0.02,29.877,0.55
2457657.56049,bg,12.55,0.02,36.643,0.674
2457560.81954,bg,12.458,0.02,39.859,0.733
2457609.5044,bg,12.445,0.02,40.351,0.742
2458160.86741,bg,12.798,0.02,29.156,0.536
2457853.69655,bg,12.517,0.02,37.758,0.695
2457837.76979,bg,12.515,0.02,37.832,0.696
2457654.50447,bg,12.447,0.02,40.284,0.741
2457457.81064,bg,12.68,0.02,32.507,0.598
2457888.80088,bg,12.679,0.02,32.527,0.598
2457803.84857,bg,12.665,0.02,32.947,0.606
2458035.52497,bg,12.57,0.02,35.953,0.662
2458196.86036,bg,12.66,0.02,33.092,0.609
2457573.66306,bg,12.789,0.02,29.384,0.541
2458161.88606,bg,12.678,0.02,32.566,0.599
2458190.84687,bg,12.733,0.02,30.953,0.57
2457659.51786,bg,12.629,0.02,34.065,0.627
2457622.55471,bg,12.688,0.02,32.252,0.593
2457634.56976,bg,12.492,0.02,38.656,0.711
2457825.77106,bg,12.65,0.02,33.415,0.615
2457858.78045,bg,12.445,0.02,40.362,0.743
2458199.78263,bg,12.719,0.02,31.345,0.577
2458153.88428,bg,12.664,0.02,32.994,0.607
2457975.62654,bg,12.619,0.02,34.392,0.633
2458324.66352,bg,12.592,0.02,35.242,0.648
2457486.8424,bg,12.694,0.02,32.077,0.59
2457818.81004,bg,12.613,0.02,34.579,0.636
2458314.72193,bg,12.657,0.02,33.194,0.611
2457455.7928,bg,12.554,0.02,36.485,0.671
2457651.54648,bg,12.498,0.02,38.428,0.707
2457829.87151,bg,12.539,0.02,36.994,0.681
2457960.6301,bg,12.654,0.02,33.3,0.613
2458243.8489,bg,12.686,0.02,32.316,0.595
2458195.81551,bg,12.671,0.02,32.76,0.603
2457568.7924,bg,12.575,0.02,35.807,0.659
2457862.67547,bg,12.631,0.02,33.995,0.626
2458015.58704,bg,12.532,0.02,37.241,0.685
2458011.57748,bg,12.544,0.02,36.847,0.678
2457848.80726,bg,12.655,0.02,33.268,0.612
2457973.61844,bg,12.559,0.02,36.334,0.669
2458211.73889,bg,12.579,0.02,35.687,0.657
2457799.84326,bg,12.684,0.02,32.378,0.596
2457794.85838,bg,12.618,0.02,34.401,0.633
2458200.86111,bg,12.67,0.02,32.813,0.604
2457602.64128,bg,12.646,0.02,33.539,0.617
2457779.87275,bg,12.633,0.02,33.937,0.624
2458188.89118,bg,12.568,0.02,36.049,0.663
2457865.76424,bg,12.667,0.02,32.9,0.605
2457834.88903,bg,12.493,0.02,38.606,0.71
2458208.75245,bg,12.625,0.02,34.198,0.629
2457669.51008,bg,12.666,0.02,32.937,0.606
2457827.81121,bg,12.623,0.02,34.247,0.63
2457479.79798,bg,12.674,0.02,32.695,0.602
2457980.64029,bg,12.625,0.02,34.2,0.629
2457835.79303,bg,12.483,0.02,38.984,0.717
2458345.6992,bg,12.575,0.02,35.81,0.659
2458029.52007,bg,12.645,0.02,33.568,0.618
2457639.49498,bg,12.756,0.02,30.299,0.558
2458347.55997,bg,12.607,0.02,34.757,0.64
2458189.8866,bg,12.592,0.02,35.245,0.649
2457781.87168,bg,12.642,0.02,33.659,0.619
2458308.77837,bg,12.74,0.02,30.744,0.566
2458019.57275,bg,12.651,0.02,33.379,0.614
2458043.50151,bg,12.663,0.02,33.02,0.608
2457904.78839,bg,12.526,0.02,37.464,0.689
2457964.68804,bg,12.601,0.02,34.94,0.643
2457643.54424,bg,12.677,0.02,32.584,0.6
2458209.7634,bg,12.582,0.02,35.578,0.655
2458339.63824,bg,12.67,0.02,32.816,0.604
2457786.8583,bg,12.509,0.02,38.046,0.7
2457934.56545,bg,12.661,0.02,33.085,0.609
2458157.85516,bg,12.665,0.02,32.943,0.606
2458245.79862,bg,12.694,0.02,32.077,0.59
2457666.53595,bg,12.685,0.02,32.348,0.595
2457845.81355,bg,12.652,0.02,33.359,0.614
2457782.86383,bg,12.662,0.02,33.035,0.608
2457877.62846,bg,12.499,0.02,38.393,0.706
2458003.55369,bg,12.654,0.02,33.279,0.612
2458192.84504,bg,12.724,0.02,31.203,0.574
2458206.8373,bg,12.67,0.02,32.807,0.604
2457879.87408,bg,12.442,0.02,40.47,0.745
2457585.60483,bg,12.405,0.02,41.866,0.77
2458212.74945,bg,12.589,0.02,35.351,0.65
2458244.87482,bg,12.67,0.02,32.809,0.604
2457778.87711,bg,12.713,0.02,31.519,0.58
2458178.87937,bg,12.64,0.02,33.732,0.621
2457606.52298,bg,12.461,0.02,39.762,0.732
2458193.83656,bg,12.632,0.02,33.968,0.625
2457822.77339,bg,12.618,0.02,34.426,0.633
2457612.60445,bg,12.528,0.02,37.395,0.688
2457566.77877,bg,12.481,0.02,39.042,0.718
2458183.78803,bg,12.696,0.02,32.038,0.59
2458216.84922,bg,12.64,0.02,33.709,0.62
2458165.84199,bg,12.611,0.02,34.626,0.637
2458334.54061,bg,12.686,0.02,32.314,0.595
2458194.85035,bg,12.658,0.02,33.158,0.61
