hjd,camera,mag,mag_err,flux,flux_err
2458165.84199,bg,12.554,0.02,36.516,0.672
2457786.8583,bg,12.414,0.02,41.512,0.764
2457911.73472,bg,12.56,0.02,36.305,0.668
2458332.55586,bg,12.585,0.02,35.463,0.653
2457657.56049,bg,12.468,0.02,39.517,0.727
2457894.67336,bg,12.53,0.02,37.317,0.687
2457476.84976,bg,12.446,0.02,40.321,0.742
2458209.7634,bg,12.507,0.02,38.107,0.701
2457871.66567,bg,12.534,0.02,37.193,0.684
2458178.87937,bg,12.593,0.02,35.219,0.648
2458193.83656,bg,12.561,0.02,36.258,0.667
2457557.65239,bg,12.479,0.02,39.118,0.72
2457622.55471,bg,12.59,0.02,35.318,0.65
2457457.81064,bg,12.58,0.02,35.635,0.656
2457603.56113,bg,12.476,0.02,39.221,0.722
2457779.87275,bg,12.562,0.02,36.246,0.667
2458373.60093,bg,12.466,0.02,39.567,0.728
2458334.54061,bg,12.602,0.02,34.912,0.642
2457879.87408,bg,12.376,0.02,43.003,0.791
2458361.65383,bg,12.587,0.02,35.407,0.651
2457958.54776,bg,12.579,0.02,35.68,0.657
2457877.62846,bg,12.408,0.02,41.747,0.768
2457546.67196,bg,12.46,0.02,39.787,0.732
2457630.50937,bg,12.34,0.02,44.468,0.818
2457799.84326,bg,12.586,0.02,35.453,0.652
2458384.56177,bg,12.598,0.02,35.045,0.645
2457834.88903,bg,12.403,0.02,41.934,0.772
2457654.50447,bg,12.352,0.02,43.963,0.809
2458203.88117,bg,12.583,0.02,35.552,0.654
2458366.63442,bg,12.52,0.02,37.675,0.693
2458197.80628,bg,12.594,0.02,35.192,0.648
2458022.51814,bg,12.548,0.02,36.697,0.675
2457675.50858,bg,12.363,0.02,43.505,0.8
2457595.56202,bg,12.694,0.02,32.074,0.59
2457465.87464,bg,12.546,0.02,36.788,0.677
2457606.52298,bg,12.381,0.02,42.819,0.788
2457794.85838,bg,12.541,0.02,36.946,0.68
2458153.88428,bg,12.605,0.02,34.825,0.641
2457602.64128,bg,12.541,0.02,36.946,0.68
2458245.79862,bg,12.602,0.02,34.93,0.643
2457609.5044,bg,12.323,0.02,45.166,0.831
2458007.53684,bg,12.524,0.02,37.509,0.69
2458207.856,bg,12.572,0.02,35.918,0.661
2457619.59699,bg,12.654,0.02,33.283,0.612
2458370.6,bg,12.44,0.02,40.545,0.746
2458308.77837,bg,12.635,0.02,33.885,0.623
2457818.81004,bg,12.53,0.02,37.307,0.686
2457643.54424,bg,12.621,0.02,34.324,0.632
2458319.67756,bg,12.596,0.02,35.13,0.646
2458314.72193,bg,12.568,0.02,36.027,0.663
2458347.55997,bg,12.486,0.02,38.863,0.715
2457568.7924,bg,12.499,0.02,38.401,0.707
2457835.79303,bg,12.375,0.02,43.036,0.792
2457797.8405,bg,12.555,0.02,36.473,0.671
2458339.63824,bg,12.555,0.02,36.482,0.671
2457626.60286,bg,12.473,0.02,39.347,0.724
2458340.60008,bg,12.543,0.02,36.87,0.678
2457960.6301,bg,12.559,0.02,36.349,0.669
2457975.62654,bg,12.54,0.02,36.961,0.68
2458382.5857,bg,12.636,0.02,33.859,0.623
2457479.79798,bg,12.557,0.02,36.39,0.67
2458201.86038,bg,12.554,0.02,36.518,0.672
2458185.79024,bg,12.549,0.02,36.685,0.675
2457980.64029,bg,12.583,0.02,35.525,0.654
2457933.51847,bg,12.553,0.02,36.54,0.672
2457560.81954,bg,12.377,0.02,42.964,0.791
