HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459647.79477,2022-03-09.2948975,bk,1.42,16.278,13.271,0.014,17.840,0.232,g
2459647.79602,2022-03-09.2961523,bk,1.41,16.328,13.301,0.014,17.356,0.224,g
2459647.79726,2022-03-09.2973940,bk,1.47,16.252,13.322,0.016,17.039,0.240,g
2459647.81770,2022-03-09.3178322,bk,1.45,16.254,13.311,0.016,17.198,0.238,g
2459647.81895,2022-03-09.3190843,bk,1.43,16.294,13.311,0.015,17.208,0.229,g
2459647.82019,2022-03-09.3203202,bk,1.42,16.297,13.344,0.015,16.690,0.231,g
2459648.75250,2022-03-10.2525332,bk,1.46,16.313,13.332,0.015,16.884,0.227,g
2459648.75374,2022-03-10.2537761,bk,1.43,16.211,13.252,0.015,18.171,0.246,g
2459648.75499,2022-03-10.2550304,bk,1.48,16.245,13.298,0.015,17.411,0.246,g
2459648.77153,2022-03-10.2715704,bk,1.55,16.232,13.302,0.016,17.337,0.247,g
2459648.77278,2022-03-10.2728111,bk,1.52,16.264,13.270,0.014,17.862,0.235,g
2459648.77402,2022-03-10.2740564,bk,1.51,16.193,13.309,0.015,17.240,0.248,g
2459649.74861,2022-03-11.2485569,bk,1.45,16.267,13.228,0.014,18.582,0.236,g
2459649.74986,2022-03-11.2498021,bk,1.50,16.230,13.221,0.015,18.689,0.246,g
2459649.75110,2022-03-11.2510452,bk,1.53,16.211,13.288,0.016,17.578,0.249,g
2459649.78839,2022-03-11.2883277,bG,1.46,16.143,13.242,0.016,18.335,0.263,g
2459649.78970,2022-03-11.2896403,bG,1.49,16.141,13.263,0.016,17.982,0.267,g
2459649.79100,2022-03-11.2909408,bG,1.41,16.158,13.245,0.016,18.274,0.261,g
2459649.82516,2022-03-11.3250917,bG,1.45,16.150,13.242,0.016,18.343,0.261,g
2459649.82646,2022-03-11.3263940,bG,1.45,16.172,13.247,0.015,18.241,0.255,g
2459649.82776,2022-03-11.3276901,bG,1.42,16.237,13.264,0.015,17.972,0.246,g
2459650.83394,2022-03-12.3337790,bk,1.45,16.241,13.240,0.015,18.373,0.241,g
2459650.83518,2022-03-12.3350207,bk,1.43,16.327,13.236,0.014,18.428,0.228,g
2459650.83643,2022-03-12.3362673,bk,1.40,16.210,13.226,0.014,18.612,0.243,g
2459650.88231,2022-03-12.3821453,bk,1.46,16.283,13.220,0.014,18.701,0.235,g
2459650.88355,2022-03-12.3833861,bk,1.41,16.303,13.259,0.014,18.042,0.234,g
2459650.88479,2022-03-12.3846313,bk,1.41,16.312,13.236,0.014,18.428,0.230,g
2459651.84269,2022-03-13.3424369,bk,1.49,16.268,13.216,0.014,18.773,0.240,g
2459651.84392,2022-03-13.3436774,bk,1.44,16.200,13.239,0.014,18.382,0.248,g
2459651.84519,2022-03-13.3449321,bk,1.43,16.284,13.210,0.014,18.875,0.233,g
2459652.80169,2022-03-14.3013538,bG,1.45,16.111,13.191,0.016,19.217,0.273,g
2459652.80298,2022-03-14.3026380,bG,1.42,16.195,13.192,0.015,19.197,0.252,g
2459652.80428,2022-03-14.3039371,bG,1.45,16.117,13.214,0.016,18.814,0.270,g
2459652.88837,2022-03-14.3880126,bk,1.43,16.234,13.185,0.014,19.324,0.249,g
2459652.88961,2022-03-14.3892539,bk,1.46,16.230,13.225,0.015,18.624,0.244,g
2459652.89085,2022-03-14.3904968,bk,1.44,16.299,13.199,0.014,19.067,0.229,g
2459654.48885,2022-03-15.9883493,bo,1.52,15.688,13.177,0.022,19.456,0.393,g
2459654.49011,2022-03-15.9896075,bo,1.55,15.659,13.242,0.024,18.334,0.400,g
2459654.49136,2022-03-15.9908586,bo,1.56,15.623,13.240,0.024,18.367,0.415,g
2459655.73500,2022-03-17.2343734,bG,1.50,15.648,13.264,0.024,17.976,0.407,g
2459655.73630,2022-03-17.2356717,bG,1.50,15.634,13.221,0.025,18.694,0.417,g
2459655.73758,2022-03-17.2369688,bG,1.53,15.643,13.297,0.026,17.418,0.411,g
2459656.75634,2022-03-18.2556255,bG,1.44,15.661,13.304,0.025,17.310,0.402,g
2459656.75763,2022-03-18.2569211,bG,1.45,15.683,13.270,0.025,17.870,0.396,g
2459656.75893,2022-03-18.2582189,bG,1.52,15.837,13.264,0.021,17.971,0.346,g
2459656.78079,2022-03-18.2800733,bG,1.42,15.770,13.261,0.023,18.015,0.366,g
2459656.78209,2022-03-18.2813694,bG,1.40,15.785,13.253,0.022,18.137,0.362,g
2459656.78340,2022-03-18.2826751,bG,1.44,15.770,13.258,0.022,18.061,0.364,g
2459656.80776,2022-03-18.3070325,bG,1.43,15.851,13.246,0.021,18.262,0.343,g
2459656.80904,2022-03-18.3083189,bG,1.44,15.795,13.265,0.022,17.950,0.358,g
2459656.81034,2022-03-18.3096167,bG,1.52,15.878,13.316,0.021,17.118,0.330,g
2459658.74121,2022-03-20.2403092,bk,1.42,15.925,13.214,0.018,18.819,0.316,g
