HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457455.79262,2016-03-08.2927917,bg,1.58,15.518,12.463,0.014,39.701,0.496,V
2457455.79391,2016-03-08.2940828,bg,1.56,15.564,12.458,0.012,39.876,0.472,V
2457455.79518,2016-03-08.2953598,bg,1.64,15.595,12.481,0.012,39.052,0.460,V
2457457.81047,2016-03-10.3104524,bg,1.47,15.653,12.605,0.013,34.824,0.430,V
2457457.81176,2016-03-10.3117377,bg,1.51,15.637,12.576,0.013,35.769,0.441,V
2457457.81303,2016-03-10.3130153,bg,1.59,15.668,12.592,0.014,35.251,0.434,V
2457461.80747,2016-03-14.3070703,bg,1.43,14.737,12.697,0.033,31.999,0.985,V
2457461.80876,2016-03-14.3083664,bg,1.41,15.715,12.675,0.013,32.646,0.409,V
2457461.81005,2016-03-14.3096521,bg,1.45,15.695,12.663,0.013,33.012,0.419,V
2457465.87447,2016-03-18.3736896,bg,1.41,99.990,99.990,99.990,99.990,99.990,V
2457465.87577,2016-03-18.3749859,bg,1.53,99.990,99.990,99.990,99.990,99.990,V
2457465.87706,2016-03-18.3762736,bg,1.50,99.990,99.990,99.990,99.990,99.990,V
2457468.74633,2016-03-21.2452762,bg,1.55,15.338,12.408,0.016,41.751,0.583,V
2457468.74763,2016-03-21.2465858,bg,1.54,15.348,12.428,0.016,40.992,0.584,V
2457468.74893,2016-03-21.2478758,bg,1.58,15.407,12.437,0.015,40.651,0.551,V
2457476.84961,2016-03-29.3478120,bg,1.63,15.553,12.395,0.013,42.287,0.502,V
2457476.85089,2016-03-29.3490954,bg,1.76,15.511,12.434,0.014,40.778,0.513,V
2457476.85219,2016-03-29.3503958,bg,1.73,15.502,12.479,0.014,39.109,0.514,V
2457479.79783,2016-04-01.2957717,bg,1.51,15.626,12.609,0.015,34.705,0.453,V
2457479.79913,2016-04-01.2970711,bg,1.50,15.618,12.572,0.014,35.898,0.456,V
2457479.80041,2016-04-01.2983572,bg,1.47,15.609,12.568,0.014,36.057,0.455,V
2457481.80426,2016-04-03.3020306,bg,1.49,99.990,99.990,99.990,99.990,99.990,V
2457481.80555,2016-04-03.3033164,bg,1.42,99.990,99.990,99.990,99.990,99.990,V
2457481.80684,2016-04-03.3046069,bg,1.42,99.990,99.990,99.990,99.990,99.990,V
2457486.84226,2016-04-08.3395981,bg,1.55,99.990,99.990,99.990,99.990,99.990,V
2457486.84354,2016-04-08.3408732,bg,1.53,99.990,99.990,99.990,99.990,99.990,V
2457486.84482,2016-04-08.3421638,bg,1.50,99.990,99.990,99.990,99.990,99.990,V
2457522.82705,2016-05-14.3220629,bg,1.40,99.990,99.990,99.990,99.990,99.990,V
2457522.82839,2016-05-14.3234061,bg,1.52,99.990,99.990,99.990,99.990,99.990,V
2457522.82969,2016-05-14.3247062,bg,1.47,15.610,12.413,0.012,41.538,0.469,V
2457530.59661,2016-05-22.0913415,bg,1.59,15.128,12.670,0.024,32.811,0.699,V
2457530.59790,2016-05-22.0926355,bg,1.54,15.176,12.694,0.022,32.078,0.667,V
2457530.59920,2016-05-22.0939282,bg,1.64,15.223,12.687,0.022,32.275,0.645,V
2457546.67199,2016-06-07.1664278,bg,1.52,99.990,99.990,99.990,99.990,99.990,V
2457547.64427,2016-06-08.1386998,bg,1.67,15.694,12.557,0.013,36.411,0.428,V
2457547.64556,2016-06-08.1399973,bg,1.59,15.681,12.562,0.013,36.238,0.428,V
2457547.64686,2016-06-08.1412968,bg,1.70,15.660,12.572,0.013,35.928,0.434,V
2457548.64029,2016-06-09.1347210,bg,1.66,15.587,12.614,0.015,34.548,0.468,V
2457548.64164,2016-06-09.1360700,bg,1.63,15.624,12.596,0.014,35.113,0.450,V
2457548.64293,2016-06-09.1373635,bg,1.71,15.606,12.622,0.015,34.290,0.456,V
2457557.65245,2016-06-18.1469192,bg,1.46,15.491,12.490,0.015,38.714,0.509,V
2457557.65373,2016-06-18.1482050,bg,1.41,15.426,12.490,0.016,38.705,0.538,V
2457557.65503,2016-06-18.1494971,bg,1.54,15.411,12.464,0.015,39.660,0.547,V
2457560.81961,2016-06-21.3141278,bg,1.60,15.321,12.347,0.015,44.156,0.613,V
2457560.82091,2016-06-21.3154274,bg,1.56,15.280,12.406,0.016,41.853,0.614,V
2457560.82220,2016-06-21.3167103,bg,1.56,15.272,12.385,0.016,42.661,0.624,V
2457562.67261,2016-06-23.1671585,bg,2.11,14.594,12.396,0.030,42.234,1.140,V
2457562.67388,2016-06-23.1684295,bg,2.06,14.361,12.310,0.034,45.674,1.423,V
2457566.77886,2016-06-27.2735035,bg,1.44,15.580,12.378,0.012,42.894,0.475,V
2457566.78015,2016-06-27.2747902,bg,1.42,15.540,12.413,0.013,41.584,0.493,V
2457566.78145,2016-06-27.2760893,bg,1.40,15.573,12.409,0.013,41.711,0.478,V
2457568.79249,2016-06-29.2871836,bg,1.91,15.640,12.511,0.013,37.985,0.457,V
2457568.79378,2016-06-29.2884716,bg,1.83,15.620,12.482,0.013,39.022,0.458,V
2457568.79506,2016-06-29.2897583,bg,1.86,15.602,12.511,0.014,37.980,0.460,V
2457569.72984,2016-06-30.2245670,bg,1.63,15.524,12.559,0.015,36.313,0.493,V
2457569.73113,2016-06-30.2258546,bg,1.73,15.534,12.560,0.015,36.310,0.488,V
2457569.73241,2016-06-30.2271292,bg,1.68,15.480,12.556,0.016,36.453,0.516,V
2457573.66317,2016-07-04.1580166,bg,1.67,15.673,12.697,0.015,31.989,0.436,V
2457573.66444,2016-07-04.1592945,bg,1.63,15.669,12.707,0.015,31.708,0.435,V
2457573.66573,2016-07-04.1605820,bg,1.65,99.990,99.990,99.990,99.990,99.990,V
2457585.60496,2016-07-16.1003381,bg,1.54,15.464,12.328,0.013,44.953,0.530,V
2457585.60625,2016-07-16.1016243,bg,1.45,15.486,12.319,0.013,45.331,0.514,V
2457585.60753,2016-07-16.1029116,bg,1.52,15.423,12.327,0.013,44.990,0.541,V
2457593.72427,2016-07-24.2201130,bg,1.47,15.616,12.612,0.015,34.615,0.452,V
2457593.72555,2016-07-24.2213993,bg,1.43,15.615,12.671,0.015,32.791,0.457,V
2457593.72685,2016-07-24.2226944,bg,1.53,15.658,12.649,0.014,33.455,0.431,V
2457595.56218,2016-07-26.0581365,bg,1.45,15.745,12.702,0.014,31.830,0.402,V
2457595.56345,2016-07-26.0594071,bg,1.51,15.728,12.712,0.014,31.542,0.407,V
2457595.56473,2016-07-26.0606905,bg,1.58,15.720,12.702,0.014,31.848,0.409,V
2457601.59915,2016-08-01.0955201,bg,1.40,15.624,12.564,0.014,36.172,0.449,V
2457602.64144,2016-08-02.1378910,bg,1.49,15.699,12.534,0.013,37.173,0.422,V
2457603.56129,2016-08-03.0578079,bg,1.42,15.702,12.496,0.012,38.525,0.421,V
2457603.56258,2016-08-03.0590920,bg,1.45,15.697,12.497,0.012,38.481,0.426,V
2457603.56387,2016-08-03.0603804,bg,1.49,15.635,12.463,0.013,39.667,0.449,V
2457606.52314,2016-08-06.0198763,bg,1.45,15.649,12.369,0.012,43.272,0.446,V
2457606.52443,2016-08-06.0211664,bg,1.46,15.666,12.374,0.011,43.079,0.445,V
2457606.52572,2016-08-06.0224509,bg,1.46,15.638,12.396,0.012,42.217,0.453,V
2457609.50458,2016-08-09.0015393,bg,1.44,15.565,12.309,0.012,45.728,0.483,V
2457609.50585,2016-08-09.0028146,bg,1.48,15.596,12.321,0.012,45.212,0.472,V
2457609.50714,2016-08-09.0041064,bg,1.52,15.594,12.343,0.012,44.305,0.479,V
2457612.60462,2016-08-12.1018307,bg,1.60,15.557,12.438,0.013,40.597,0.483,V
2457612.60591,2016-08-12.1031209,bg,1.54,15.555,12.435,0.013,40.733,0.481,V
2457612.60722,2016-08-12.1044320,bg,1.55,15.541,12.434,0.013,40.781,0.504,V
2457616.55778,2016-08-16.0553196,bg,1.47,15.528,12.655,0.016,33.272,0.494,V
2457616.55907,2016-08-16.0566083,bg,1.55,15.570,12.638,0.016,33.772,0.477,V
